code,kind,name
007074,service,Izrada šablona za rad
007075,service,Štampa cenovnika
007076,service,Štampa brošure - hemofilija
007077,service,Štampa letaka
007078,service,Štampa na vadičepovima-ohrid
007079,service,Štampa jelovnika ENG
007081,service,Štampa menija paket pića
007083,service,Štampa akreditacija
007084,service,Štampa konfernijskih šatora - imena
007085,service,Obrazac forma za prijavu
007086,service,Trakice za id akreditacije
007087,service,Izrada jelovnika eko koža
007090,service,Izrada koraca za račune - eko koža
007091,service,Štampa jelovnika -dnevni meni
007093,service,Usluga štampr
007094,service,Štampa pvc nalepnica -SAX
007095,service,Štampa nalepnica -Terme
007096,service,Štampa blok A5 spirala
007097,service,Štampa name tagova
007100,service,Vizit kartice obostrana štampa
007101,service,Nalepnice pvc - sopstveni prevoz
007102,service,Štampa magnetne nalepnice
007103,service,Usluge štampe
007104,service,Kater folija -transfer -generalije firme
007105,service,Usluga štampe na majicama
007110,service,Usluge štampe na kutijama
007111,service,Usluge sečenja lepenke
007112,service,Usluga štampe garantnih listova
007115,service,Štampa letaka A5 obostrani kolor
007117,service,Kutije za pizze-bele 32 cm +štampa
007118,service,Manipulativni troškovi
007119,service,Nalepnice pvc - sax
007120,service,Nalepnice pvc - hotel xenon
007121,service,Nalepnice pvc - hotel semlin
007124,service,Štampa vadičepova - Stojanović
007126,service,Usluga štampe etiketa
007128,service,Štampa jelovnika RUS
007129,service,Štampa blokovke robe
007130,service,Usluga izrade graverskog priveska
007132,service,Izrada kusurnika -tvrde korice
007134,service,Štampa jelovnika
007135,service,Štampa upaljača
007137,service,Štampa platna za baner 60x160
007138,article,Konstrukcija baner 60x160
007139,service,Usluga koričenja - spiralni povez
007142,service,Usluga štampe platna za baner
007143,service,Usluga štampe na fleš memoriji
007144,service,Usluga štampe na majicama 1/1
007147,service,Kaširana pena A4
007148,service,Kaširana pena A3
007149,service,Štampa ceradnog platna sa ringlicama
007152,service,Koverte 23x11 sa štampom
007154,service,Klirit 25 x 25 mm -3 mm sa štampom
007155,service,Klirit 25 x 25 cm sa štampom
007156,service,Klirit 15x15 cm sa štampom
007157,service,Klirit 30 x 11 cm sa štampom
007159,service,Štampa sertifikata A4
007163,article,Majice t shirts
007164,service,Štampa na majicama
007165,article,Majice polo sa kragnom
007166,service,Štampa na majicama
007172,service,Štampa kataloga A4
007173,service,Nalepnice pvc - kiseonik
007175,service,Nalepnice - zanatska viršla
007176,service,Izrada info tabli
007177,service,Štampa formata A3 1/1
007180,service,Štampa cenovnika A5 + laminacija
007181,service,Štampa backlit folije 46x46cm
007182,service,Usluga izrade seta 3u1
007184,article,Markeri za CD
007186,article,Toner CE 255 A
